"YEAR","IP_ID","AR_ID","PD","PD_POOL","DFLT_FLAG"
2022,"CFG053","02795120",0.992526020124204,"5",1
2022,"NNA451","10210477",0.0000265693862341781,"1",0
2022,"VLZ931","24787848",0.00000351473500984542,"1",0
2022,"VVF064","35869938",0.00000586802821131805,"1",0
2022,"DXH176","71765042",0.000000837806981793325,"1",0
2022,"LDI179","95504278",0.000000270394881615082,"1",0
2022,"FTK662","70369878",0.00000115772766983836,"1",0
2022,"HOM686","19859742",0.000000351535319531199,"1",0
2022,"NSI719","11299291",0.00000051253507478287,"1",0
2022,"VSS623","57146094",0.559008819372173,"5",1
2022,"ZCJ487","81594692",0.181931824687146,"5",1
2022,"THZ403","57667060",0.000000347116489568893,"1",0
2022,"NAY796","14188754",NA,NA,0
2022,"UGY512","70573322",0.543805923883975,"5",1
2022,"CGC248","28580548",0.00000219261288108839,"1",0
2022,"KTL458","05303182",0.00000113741812288116,"1",0
2022,"RXQ316","54629161",0.000000256743746972021,"1",0
2022,"UAT938","31432312",0.0000160065258708434,"1",0
2022,"XIH740","66651330",0.347849334973677,"5",1
2022,"NSI520","86988720",0.000000102228112661051,"1",0
2022,"XHL520","91311709",0.0000255053592453207,"1",0
2022,"ABM630","08302079",NA,NA,0
2022,"CJK990","25830009",0.997612550740648,"5",1
2022,"OZA757","03883208",0.000000182687511434329,"1",0
2022,"ZJR344","11000809",0.00000199413518974656,"1",0
2022,"BHU326","72005566",0.000000253907278590134,"1",0
2022,"OUZ966","07865584",0.00000232273471601813,"1",0
2022,"DIN352","87999634",0.00000802764747015339,"1",0
2022,"YZH217","42040575",0.00000182918128002839,"1",0
2022,"ZNF314","12109373",0.00000516297830162361,"1",0
2022,"DQD518","49107867",0.00000387229348147912,"1",0
2022,"KLI898","35057072",0.000013419551850433,"1",0
2022,"ZUU152","18017778",0.0000017691027201799,"1",0
2022,"JQF170","96904079",0.000009467167294182,"1",0
2022,"RMD957","53755656",0.000000781897748629868,"1",0
2022,"TXG964","64078813",0.00000244685310393026,"1",0
2022,"WJI132","32636967",0.00000385273047756779,"1",0
2022,"OPE410","99211895",NA,NA,0
2022,"KOQ036","24691124",0.00000250490066299805,"1",0
2022,"WVU088","87931818",0.000000626420044418686,"1",0
2022,"SMY064","28954832",0.00000022449208768632,"1",0
2022,"HYT525","60795034",0.909511299821222,"5",1
2022,"WXI082","33397994",0.000000190980272342456,"1",0
2022,"FCV232","04150976",0.00000578652068351438,"1",0
2022,"SMI279","78833755",0.998459526245718,"5",1
2022,"XHZ068","59438073",0.00000110359704890377,"1",0
2022,"EXJ232","39969801",0.0000103168782667886,"1",0
2022,"QDZ344","76222962",0.00000376292858571093,"1",0
2022,"KHR644","09638110",0.00000745301548326228,"1",0
2022,"DCG979","43583324",0.000000565718241114002,"1",0
2022,"RAZ905","01842957",0.00000286020579783445,"1",0
2022,"VQF355","41935251",NA,NA,0
2022,"AQX449","18644399",0.000000514822198747513,"1",0
2022,"ZFG062","26749062",0.00000171894591769545,"1",0
2022,"FWU607","04429484",0.000000318605202635183,"1",0
2022,"LZK707","49324184",0.00000255958274695079,"1",0
2022,"LYY034","10070835",0.000000617039409905286,"1",0
2022,"LYZ714","17604840",0.0000220656257214285,"1",0
2022,"LMW966","56547801",0.00000135133618616952,"1",0
2022,"TOV710","29923160",0.0000148870892882236,"1",0
2022,"UFB895","06162356",0.0000120932858218974,"1",0
2022,"AXR277","76881006",0.87079588308421,"5",1
2022,"RFN012","42221447",0.000000682649611502681,"1",0
2022,"RTH822","48588518",NA,NA,1
2022,"XKB662","35982097",0.0135823324522687,"4",1
2022,"IGU928","63967549",NA,NA,0
2022,"FNI619","41577760",0.00000112672429159708,"1",0
2022,"KCW276","54435548",0.00000016768702907712,"1",0
2022,"NXT275","50254034",0.00000446972304506525,"1",0
2022,"NQW354","86602917",0.00000186882369592111,"1",0
